Lausar stofur
Önn: 2018V Vorönn 2018 Dagnám

Stofa;Heiti;Vikudagar;Frá;Til;
-Stundat;H;1;08:10;09:10;
-Stundat;H;1;09:15;10:15;
-Stundat;H;1;10:35;11:35;
-Stundat;H;1;11:40;12:40;
-Stundat;H;1;13:10;14:10;
-Stundat;H;1;14:15;15:15;
-Stundat;H;1;15:30;16:30;
-Stundat;H;1;16:35;17:35;
-Stundat;H;1;17:40;18:40;
-Stundat;H;2;08:10;09:10;
-Stundat;H;2;09:15;10:15;
-Stundat;H;2;10:35;11:35;
-Stundat;H;2;11:40;12:40;
-Stundat;H;2;13:10;14:10;
-Stundat;H;2;14:15;15:15;
-Stundat;H;2;15:30;16:30;
-Stundat;H;2;16:35;17:35;
-Stundat;H;2;17:40;18:40;
-Stundat;H;3;08:10;09:10;
-Stundat;H;3;09:15;10:15;
-Stundat;H;3;10:35;11:35;
-Stundat;H;3;11:40;12:40;
-Stundat;H;3;13:10;14:10;
-Stundat;H;3;14:15;15:15;
-Stundat;H;3;15:30;16:30;
-Stundat;H;3;16:35;17:35;
-Stundat;H;3;17:40;18:40;
-Stundat;H;4;08:10;09:10;
-Stundat;H;4;09:15;10:15;
-Stundat;H;4;10:35;11:35;
-Stundat;H;4;11:40;12:40;
-Stundat;H;4;13:10;14:10;
-Stundat;H;4;14:15;15:15;
-Stundat;H;4;15:30;16:30;
-Stundat;H;4;16:35;17:35;
-Stundat;H;4;17:40;18:40;
-Stundat;H;5;08:10;09:10;
-Stundat;H;5;09:15;10:15;
-Stundat;H;5;10:35;11:35;
-Stundat;H;5;11:40;12:40;
-Stundat;H;5;13:10;14:10;
-Stundat;H;5;14:15;15:15;
-Stundat;H;5;15:30;16:30;
-Stundat;H;5;16:35;17:35;
-Stundat;H;5;17:40;18:40;
-Stundat;H;6;08:10;09:10;
-Stundat;H;6;09:15;10:15;
-Stundat;H;6;10:35;11:35;
-Stundat;H;6;11:40;12:40;
-Stundat;H;6;13:10;14:10;
-Stundat;H;6;14:15;15:15;
-Stundat;H;6;15:30;16:30;
-Stundat;H;6;16:35;17:35;
-Stundat;H;6;17:40;18:40;
H 00;Hátíðarsalur;1;08:10;09:10;
H 00;Hátíðarsalur;1;09:15;10:15;
H 00;Hátíðarsalur;1;10:35;11:35;
H 00;Hátíðarsalur;1;11:40;12:40;
H 00;Hátíðarsalur;1;13:10;14:10;
H 00;Hátíðarsalur;1;14:15;15:15;
H 00;Hátíðarsalur;1;15:30;16:30;
H 00;Hátíðarsalur;1;16:35;17:35;
H 00;Hátíðarsalur;1;17:40;18:40;
H 00;Hátíðarsalur;2;08:10;09:10;
H 00;Hátíðarsalur;2;09:15;10:15;
H 00;Hátíðarsalur;2;10:35;11:35;
H 00;Hátíðarsalur;2;11:40;12:40;
H 00;Hátíðarsalur;2;13:10;14:10;
H 00;Hátíðarsalur;2;14:15;15:15;
H 00;Hátíðarsalur;2;15:30;16:30;
H 00;Hátíðarsalur;2;16:35;17:35;
H 00;Hátíðarsalur;2;17:40;18:40;
H 00;Hátíðarsalur;3;08:10;09:10;
H 00;Hátíðarsalur;3;09:15;10:15;
H 00;Hátíðarsalur;3;10:35;11:35;
H 00;Hátíðarsalur;3;11:40;12:40;
H 00;Hátíðarsalur;3;13:10;14:10;
H 00;Hátíðarsalur;3;14:15;15:15;
H 00;Hátíðarsalur;3;15:30;16:30;
H 00;Hátíðarsalur;3;16:35;17:35;
H 00;Hátíðarsalur;3;17:40;18:40;
H 00;Hátíðarsalur;4;08:10;09:10;
H 00;Hátíðarsalur;4;09:15;10:15;
H 00;Hátíðarsalur;4;10:35;11:35;
H 00;Hátíðarsalur;4;11:40;12:40;
H 00;Hátíðarsalur;4;13:10;14:10;
H 00;Hátíðarsalur;4;14:15;15:15;
H 00;Hátíðarsalur;4;15:30;16:30;
H 00;Hátíðarsalur;4;16:35;17:35;
H 00;Hátíðarsalur;4;17:40;18:40;
H 00;Hátíðarsalur;5;08:10;09:10;
H 00;Hátíðarsalur;5;09:15;10:15;
H 00;Hátíðarsalur;5;10:35;11:35;
H 00;Hátíðarsalur;5;11:40;12:40;
H 00;Hátíðarsalur;5;13:10;14:10;
H 00;Hátíðarsalur;5;14:15;15:15;
H 00;Hátíðarsalur;5;15:30;16:30;
H 00;Hátíðarsalur;5;16:35;17:35;
H 00;Hátíðarsalur;5;17:40;18:40;
H 00;Hátíðarsalur;6;08:10;09:10;
H 00;Hátíðarsalur;6;09:15;10:15;
H 00;Hátíðarsalur;6;10:35;11:35;
H 00;Hátíðarsalur;6;11:40;12:40;
H 00;Hátíðarsalur;6;13:10;14:10;
H 00;Hátíðarsalur;6;14:15;15:15;
H 00;Hátíðarsalur;6;15:30;16:30;
H 00;Hátíðarsalur;6;16:35;17:35;
H 00;Hátíðarsalur;6;17:40;18:40;
H 001;H Smíðar 1;1;08:10;09:10;
H 001;H Smíðar 1;1;09:15;10:15;
H 001;H Smíðar 1;1;13:10;14:10;
H 001;H Smíðar 1;1;14:15;15:15;
H 001;H Smíðar 1;1;15:30;16:30;
H 001;H Smíðar 1;1;16:35;17:35;
H 001;H Smíðar 1;1;17:40;18:40;
H 001;H Smíðar 1;2;08:10;09:10;
H 001;H Smíðar 1;2;09:15;10:15;
H 001;H Smíðar 1;2;10:35;11:35;
H 001;H Smíðar 1;2;11:40;12:40;
H 001;H Smíðar 1;2;15:30;16:30;
H 001;H Smíðar 1;2;16:35;17:35;
H 001;H Smíðar 1;2;17:40;18:40;
H 001;H Smíðar 1;3;08:10;09:10;
H 001;H Smíðar 1;3;09:15;10:15;
H 001;H Smíðar 1;3;10:35;11:35;
H 001;H Smíðar 1;3;11:40;12:40;
H 001;H Smíðar 1;3;13:10;14:10;
H 001;H Smíðar 1;3;14:15;15:15;
H 001;H Smíðar 1;3;15:30;16:30;
H 001;H Smíðar 1;3;16:35;17:35;
H 001;H Smíðar 1;3;17:40;18:40;
H 001;H Smíðar 1;4;08:10;09:10;
H 001;H Smíðar 1;4;09:15;10:15;
H 001;H Smíðar 1;4;10:35;11:35;
H 001;H Smíðar 1;4;11:40;12:40;
H 001;H Smíðar 1;4;13:10;14:10;
H 001;H Smíðar 1;4;14:15;15:15;
H 001;H Smíðar 1;4;15:30;16:30;
H 001;H Smíðar 1;4;16:35;17:35;
H 001;H Smíðar 1;4;17:40;18:40;
H 001;H Smíðar 1;5;08:10;09:10;
H 001;H Smíðar 1;5;09:15;10:15;
H 001;H Smíðar 1;5;10:35;11:35;
H 001;H Smíðar 1;5;11:40;12:40;
H 001;H Smíðar 1;5;13:10;14:10;
H 001;H Smíðar 1;5;14:15;15:15;
H 001;H Smíðar 1;5;15:30;16:30;
H 001;H Smíðar 1;5;16:35;17:35;
H 001;H Smíðar 1;5;17:40;18:40;
H 001;H Smíðar 1;6;08:10;09:10;
H 001;H Smíðar 1;6;09:15;10:15;
H 001;H Smíðar 1;6;10:35;11:35;
H 001;H Smíðar 1;6;11:40;12:40;
H 001;H Smíðar 1;6;13:10;14:10;
H 001;H Smíðar 1;6;14:15;15:15;
H 001;H Smíðar 1;6;15:30;16:30;
H 001;H Smíðar 1;6;16:35;17:35;
H 001;H Smíðar 1;6;17:40;18:40;
H 006;H Vélstj,/véltækni;1;08:10;09:10;
H 006;H Vélstj,/véltækni;1;09:15;10:15;
H 006;H Vélstj,/véltækni;1;10:35;11:35;
H 006;H Vélstj,/véltækni;1;11:40;12:40;
H 006;H Vélstj,/véltækni;1;13:10;14:10;
H 006;H Vélstj,/véltækni;1;14:15;15:15;
H 006;H Vélstj,/véltækni;1;15:30;16:30;
H 006;H Vélstj,/véltækni;1;16:35;17:35;
H 006;H Vélstj,/véltækni;1;17:40;18:40;
H 006;H Vélstj,/véltækni;2;08:10;09:10;
H 006;H Vélstj,/véltækni;2;09:15;10:15;
H 006;H Vélstj,/véltækni;2;10:35;11:35;
H 006;H Vélstj,/véltækni;2;11:40;12:40;
H 006;H Vélstj,/véltækni;2;13:10;14:10;
H 006;H Vélstj,/véltækni;2;14:15;15:15;
H 006;H Vélstj,/véltækni;2;15:30;16:30;
H 006;H Vélstj,/véltækni;2;16:35;17:35;
H 006;H Vélstj,/véltækni;2;17:40;18:40;
H 006;H Vélstj,/véltækni;3;10:35;11:35;
H 006;H Vélstj,/véltækni;3;11:40;12:40;
H 006;H Vélstj,/véltækni;3;15:30;16:30;
H 006;H Vélstj,/véltækni;3;16:35;17:35;
H 006;H Vélstj,/véltækni;3;17:40;18:40;
H 006;H Vélstj,/véltækni;4;08:10;09:10;
H 006;H Vélstj,/véltækni;4;09:15;10:15;
H 006;H Vélstj,/véltækni;4;10:35;11:35;
H 006;H Vélstj,/véltækni;4;11:40;12:40;
H 006;H Vélstj,/véltækni;4;13:10;14:10;
H 006;H Vélstj,/véltækni;4;14:15;15:15;
H 006;H Vélstj,/véltækni;4;15:30;16:30;
H 006;H Vélstj,/véltækni;4;16:35;17:35;
H 006;H Vélstj,/véltækni;4;17:40;18:40;
H 006;H Vélstj,/véltækni;5;08:10;09:10;
H 006;H Vélstj,/véltækni;5;09:15;10:15;
H 006;H Vélstj,/véltækni;5;10:35;11:35;
H 006;H Vélstj,/véltækni;5;11:40;12:40;
H 006;H Vélstj,/véltækni;5;13:10;14:10;
H 006;H Vélstj,/véltækni;5;14:15;15:15;
H 006;H Vélstj,/véltækni;5;15:30;16:30;
H 006;H Vélstj,/véltækni;5;16:35;17:35;
H 006;H Vélstj,/véltækni;5;17:40;18:40;
H 006;H Vélstj,/véltækni;6;08:10;09:10;
H 006;H Vélstj,/véltækni;6;09:15;10:15;
H 006;H Vélstj,/véltækni;6;10:35;11:35;
H 006;H Vélstj,/véltækni;6;11:40;12:40;
H 006;H Vélstj,/véltækni;6;13:10;14:10;
H 006;H Vélstj,/véltækni;6;14:15;15:15;
H 006;H Vélstj,/véltækni;6;15:30;16:30;
H 006;H Vélstj,/véltækni;6;16:35;17:35;
H 006;H Vélstj,/véltækni;6;17:40;18:40;
H 106;H Raungreinastofa;1;08:10;09:10;
H 106;H Raungreinastofa;1;09:15;10:15;
